car_name,engine_type,km_data,model_date,price_exp_rs
Maruti Vitara Brezza,Diesel,"52,614 km",2016,"8,63,003"
Hyundai i10,Petrol,"18,866 km",2011,"2,65,816"
Hyundai Elite i20,Petrol,"33,557 km",2016,"6,45,285"
Maruti Alto 800,Petrol + CNG,"1,01,420 km",2015,"2,46,687"
Hyundai Verna,Diesel,"27,260 km",2017,"10,84,420"
Maruti IGNIS,Petrol,"26,402 km",2017,"6,05,000"
Maruti Ertiga,Diesel,"48,968 km",2015,"8,39,794"
Maruti Dzire,Diesel,"40,943 km",2018,"8,17,740"
Hyundai i10,Petrol,"41,978 km",2013,"3,37,500"
Hyundai Elite i20,Petrol,"32,183 km",2017,"6,70,994"
Maruti Ciaz,Petrol,"52,385 km",2016,"6,45,903"
Hyundai Verna,Diesel,"68,696 km",2013,"6,29,825"
Hyundai Elite i20,Petrol,"22,814 km",2017,"6,25,400"
Hyundai i20 Active,Petrol,"27,094 km",2015,"6,16,255"
Maruti Alto,Petrol,"87,010 km",2010,"1,53,300"
Hyundai Elite i20,Petrol,"75,701 km",2015,"5,07,400"
Hyundai Elite i20,Petrol,"60,202 km",2014,"4,86,160"
Maruti Celerio,Petrol,"22,551 km",2018,"4,81,040"
Maruti Celerio,Petrol,"33,614 km",2016,"4,73,840"
Maruti Celerio,Petrol,673 km,2017,"4,65,880"
Hyundai Grand i10,Petrol,"24,462 km",2015,"4,58,653"
Maruti Alto K10,Petrol,"60,947 km",2014,"2,41,800"
Maruti Celerio,Petrol,"38,441 km",2016,"4,23,440"
Maruti Celerio,Petrol + CNG,"91,703 km",2015,"4,07,840"
Toyota Corolla Altis,Petrol,"1,14,951 km",2012,"4,07,840"
Maruti Celerio,Petrol,"39,062 km",2015,"3,98,240"
Maruti Alto 800,Petrol,"11,831 km",2016,"2,90,000"
Honda City,Petrol,"84,564 km",2010,"3,74,240"
Maruti Swift,Petrol,"78,409 km",2012,"3,33,440"
Hyundai i10,Petrol,"68,486 km",2011,"2,46,830"
Hyundai Eon,Petrol,"38,290 km",2013,"2,43,435"
Maruti Alto 800,Petrol,"19,628 km",2016,"3,11,840"
Hyundai Santro Xing,Petrol,"1,00,297 km",2007,"1,35,170"
Maruti Ritz,Petrol,"90,566 km",2011,"2,25,920"
Hyundai i10,Petrol,"94,111 km",2011,"2,87,840"
Maruti Alto 800,Petrol,"13,563 km",2016,"2,83,040"
Maruti Alto K10,Petrol,"12,687 km",2011,"2,15,800"
Maruti Alto 800,Petrol,"21,449 km",2015,"2,60,184"
Hyundai Santro Xing,Petrol,"42,641 km",2010,"1,80,410"
Hyundai i10,Petrol,"19,454 km",2015,"3,29,840"
Maruti Alto K10,Petrol,"72,698 km",2014,"2,51,750"
Maruti Alto,Petrol,"38,971 km",2010,"1,57,040"
Maruti Wagon R 1.0,Petrol + CNG,"79,188 km",2013,"3,04,640"
Hyundai Santro Xing,Petrol,"80,743 km",2006,"1,06,140"
Hyundai Santro Xing,Petrol,"28,643 km",2006,"1,35,077"
Maruti Zen Estilo,Petrol,"60,421 km",2008,"1,34,900"
Hyundai i10,Petrol,"99,662 km",2009,"2,08,252"
Hyundai Eon,Petrol,"11,284 km",2014,"2,51,618"
Maruti Alto,Petrol,"82,499 km",2007,"1,18,572"
Maruti Alto,Petrol,"42,828 km",2009,"1,40,600"
Maruti Zen Estilo,Petrol,"72,034 km",2008,"1,35,890"
Hyundai i10,Petrol,"48,692 km",2009,"1,85,870"
Honda Brio,Petrol,"49,378 km",2014,"3,40,880"
Maruti Swift,Petrol,"66,124 km",2011,"2,81,210"
Hyundai Creta,Petrol,"64,473 km",2016,"8,31,010"
Volkswagen Polo,Petrol,"17,499 km",2014,"4,94,464"
Volkswagen Polo,Petrol,"88,089 km",2015,"6,13,960"
Hyundai Creta,Petrol,"59,002 km",2016,"8,20,660"
Hyundai Creta,Petrol,"33,957 km",2017,"11,65,064"
Maruti Alto 800,Petrol,"31,054 km",2016,"2,73,792"
Maruti Alto 800,Petrol,"31,054 km",2016,"2,81,000"
Maruti Zen Estilo,Petrol,"60,421 km",2008,"1,34,900"
